site,x,y,coast,north,year,rec.period,rec.period2,night,species,obs,obs.min
3,347000,6704000,40.43298631871493,49.86371508979661,2019,1,1,2019-06-01,EPTNIL,30,21
3,347000,6704000,40.43298631871493,49.86371508979661,2019,2,2,2019-06-14,EPTNIL,0,0
3,347000,6704000,40.43298631871493,49.86371508979661,2019,2,2,2019-06-15,EPTNIL,0,0
3,347000,6704000,40.43298631871493,49.86371508979661,2019,3,3,2019-06-28,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,3,3,2019-06-29,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,4,4,2019-07-12,EPTNIL,24,17
3,347000,6704000,40.43298631871493,49.86371508979661,2019,4,4,2019-07-13,EPTNIL,13,8
3,347000,6704000,40.43298631871493,49.86371508979661,2019,5,5,2019-07-26,EPTNIL,93,41
3,347000,6704000,40.43298631871493,49.86371508979661,2019,5,5,2019-07-27,EPTNIL,106,46
3,347000,6704000,40.43298631871493,49.86371508979661,2019,6,6,2019-08-09,EPTNIL,6,6
3,347000,6704000,40.43298631871493,49.86371508979661,2019,6,6,2019-08-10,EPTNIL,7,7
3,347000,6704000,40.43298631871493,49.86371508979661,2019,7,7,2019-08-23,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,7,7,2019-08-24,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,8,8,2019-09-06,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,8,8,2019-09-07,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2019,9,9,2019-09-20,EPTNIL,0,0
3,347000,6704000,40.43298631871493,49.86371508979661,2019,9,9,2019-09-21,EPTNIL,0,0
3,347000,6704000,40.43298631871493,49.86371508979661,2020,10,1,2020-05-31,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,10,1,2020-06-01,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,11,2,2020-06-14,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,11,2,2020-06-15,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,12,3,2020-06-28,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,12,3,2020-06-29,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,13,4,2020-07-12,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,13,4,2020-07-13,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,14,5,2020-07-26,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,14,5,2020-07-27,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,15,6,2020-08-09,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,15,6,2020-08-10,EPTNIL,NA,NA
3,347000,6704000,40.43298631871493,49.86371508979661,2020,16,7,2020-08-23,EPTNIL,NA,NA
